content,source,cleaned,t,sentiment_score,sentiment
Ooo bssn ...,instagram,ooo bssn,"['ooo', 'bssn']",0,neutral
congratulations Kak @edmaliarohmani,instagram,congratulations kak edmaliarohmani,"['congratulations', 'kak', 'edmaliarohmani']",0,neutral
Wihh kapan nih min pengumumannya,instagram,wihh kapan nih min pengumumannya,"['wih', 'kapan', 'nih', 'min', 'pengumumannya']",0,neutral
adain lomba blog dong min,instagram,adain lomba blog dong min,"['mengadakan', 'lomba', 'blog', 'dong', 'min']",0,neutral
Kemaren juga jam seginian situs nya juga down,instagram,kemaren juga jam seginian situs nya juga down,"['kemarin', 'juga', 'jam', 'seginian', 'situs', 'ya', 'juga', 'down']",0,neutral
pak @ken_dwijugiasteadi paling heitz,instagram,pak kendwijugiasteadi paling heitz,"['pak', 'kendwijugiasteadi', 'paling', 'heitz']",0,neutral
Bpk Mar’ie Muhammad,instagram,bpk marie muhammad,"['bpk', 'marie', 'muhammad']",0,neutral
Mar’ie Muhammad,instagram,marie muhammad,"['marie', 'muhammad']",0,neutral
Keren bgt om @gry.rmnd,instagram,keren bgt om gryrmnd,"['keren', 'banget', 'om', 'gryrmnd']",0,neutral
Kami butuu perpanangan relaxsasi pak!!!!,instagram,kami butuu perpanangan relaxsasi pak,"['kami', 'butuu', 'perpanangan', 'relaxsasi', 'pak']",0,neutral
Pakaksjdhsnamama,instagram,pakaksjdhsnamama,['pakaksjdhsnamama'],0,neutral
Kembalikan DJP,instagram,kembalikan djp,"['kembalikan', 'djp']",0,neutral
"Tango, Alfa, India",instagram,tango alfa india,"['tango', 'alfa', 'india']",0,neutral
Barang mewah,instagram,barang mewah,"['barang', 'mewah']",0,neutral
@razmannasution71,instagram,razmannasution,['razmannasution71'],0,neutral
hahahah,instagram,hahahah,['hahahah'],0,neutral
@nandazahlya_,instagram,nandazahlya,['nandazahlya'],0,neutral
@septyani_nw,instagram,septyaninw,['septyaninw'],0,neutral
@deellycious,instagram,deellycious,['deellycious'],0,neutral
Asyiaap,instagram,asyiaap,['asyiaap'],0,neutral
Yakaliii,instagram,yakaliii,['yakaliii'],0,neutral
Wkwkkwkwk.,instagram,wkwkkwkwk,['wkwkkwkwk'],0,neutral
@andez_gultom,instagram,andezgultom,['andezgultom'],0,neutral
@puspita___s,instagram,puspitas,['puspitas'],0,neutral
"Segelintir finance, acc & tax ngelu",instagram,segelintir finance acc  tax ngelu,"['segelintir', 'finance', 'acc', 'tax', 'ngelu']",0,neutral
@pepi_ltfy,instagram,pepiltfy,['pepiltfy'],0,neutral
@bsimargonda @bsi.everyday @kuliahbsiaja,instagram,bsimargonda bsieveryday kuliahbsiaja,"['bsimargonda', 'bsieveryday', 'kuliahbsiaja']",0,neutral
the best,instagram,the best,"['the', 'best']",0,neutral
selamaatt @ikhsansnl @timurahmad_,instagram,selamaatt ikhsansnl timurahmad,"['selamaatt', 'ikhsansnl', 'timurahmad']",0,neutral
Hahaaha pro oligarki pengusaha properti,instagram,hahaaha pro oligarki pengusaha properti,"['hahaaha', 'pro', 'oligarki', 'pengusaha', 'properti']",0,neutral
"The beautiful landmarks of Ambon.. White Red Bridge, Europe looks like,.. Owesome",instagram,the beautiful landmarks of ambon white red bridge europe looks like owesome,"['the', 'beautiful', 'landmarks', 'of', 'ambon', 'white', 'red', 'bridge', 'europe', 'looks', 'like', 'owesome']",0,neutral
S I A L L A H,instagram,s i a l l a h,"['si', 'i', 'a', 'l', 'l', 'a', 'h']",0,neutral
BNERIN WOY SET,instagram,bnerin woy set,"['bnerin', 'woy', 'set']",0,neutral
Ytta xixixiixi,instagram,ytta xixixiixi,"['ytta', 'xixixiixi']",0,neutral
Kembalikan e-Faktur min,instagram,kembalikan efaktur min,"['kembalikan', 'efaktur', 'min']",0,neutral
Nope ..,instagram,nope,['nope'],0,neutral
@ahmadsolehbb,instagram,ahmadsolehbb,['ahmadsolehbb'],0,neutral
layanan pengaduan coretax ada kah min?,instagram,layanan pengaduan coretax ada kah min,"['layanan', 'pengaduan', 'coretax', 'ada', 'kah', 'min']",0,neutral
......,instagram,,[],0,neutral
..,instagram,,[],0,neutral
@theodvilus @adri_bismoko,instagram,theodvilus adribismoko,"['theodvilus', 'adribismoko']",0,neutral
"CoreTax aman, Ka?",instagram,coretax aman ka,"['coretax', 'aman', 'kak']",0,neutral
SP2DK terusssssssss,instagram,spdk terusssssssss,"['sp2dk', 'terusssssssss']",0,neutral
https://www.instagram.com/reel/CtoDL89pU3h/?igshid=NTc4MTIwNjQ2YQ==,instagram,httpswwwinstagramcomreelctodlpuhigshidntcmtiwnjqyq,['httpswwwinstagramcomreelctodl89pu3higshidntc4mtiwnjq2yq'],0,neutral
@wedyatmaja,instagram,wedyatmaja,['wedyatmaja'],0,neutral
Jam brpa si cfd tuh?,instagram,jam brpa si cfd tuh,"['jam', 'berapa', 'sih', 'cfd', 'tuh']",0,neutral
Gassss,instagram,gassss,['gassss'],0,neutral
"Teori 
Praktek",instagram,"teori 
praktek","['teori', 'praktek']",0,neutral
jxz9,instagram,jxz,['jxz9'],0,neutral
TANGO ALFA INDIA !!!,instagram,tango alfa india,"['tango', 'alfa', 'india']",0,neutral
"Teori 
Praktek 
CoreTax 
CoreStres",instagram,"teori 
praktek 
coretax 
corestres","['teori', 'praktek', 'coretax', 'corestres']",0,neutral
Yaelahh,instagram,yaelahh,['yaelahh'],0,neutral
@seaweediaa @dwiambarwati729,instagram,seaweediaa dwiambarwati,"['seaweediaa', 'dwiambarwati729']",0,neutral
#UangPejabat,instagram,uangpejabat,['uangpejabat'],0,neutral
@keziaameliaaa,instagram,keziaameliaaa,['keziaameliaaa'],0,neutral
Jam berapa dimulainya bsk?,instagram,jam berapa dimulainya bsk,"['jam', 'berapa', 'dimulainya', 'besok']",0,neutral
@fauzanasyarii,instagram,fauzanasyarii,['fauzanasyarii'],0,neutral
Hadirrrr,instagram,hadirrrr,['hadirrrr'],0,neutral
JANCOK,instagram,jancok,['jancok'],0,neutral
kantor bukanya kapan min?,instagram,kantor bukanya kapan min,"['kantor', 'bukanya', 'kapan', 'min']",0,neutral
AOWAKWOKAOKWKOAKWAOWK,instagram,aowakwokaokwkoakwaowk,['aowakwokaokwkoakwaowk'],0,neutral
Survei bayaran,instagram,survei bayaran,"['survei', 'bayaran']",0,neutral
semoga....,instagram,semoga,['semoga'],0,neutral
Corrupt,instagram,corrupt,['corrupt'],0,neutral
Preketek....,instagram,preketek,['preketek'],0,neutral
Kntl,instagram,kntl,['kntl'],0,neutral
terkeren @nandyarizky,instagram,terkeren nandyarizky,"['terkeren', 'nandyarizky']",0,neutral
abang gwwww @riandanuprakoso,instagram,abang gwwww riandanuprakoso,"['abang', 'gwwww', 'riandanuprakoso']",0,neutral
Ada namamu dat @k.hario bangga kaliii,instagram,ada namamu dat khario bangga kaliii,"['ada', 'namamu', 'dat', 'khario', 'bangga', 'kali']",0,neutral
Pemeras uang rakyat,instagram,pemeras uang rakyat,"['pemeras', 'uang', 'rakyat']",0,neutral
@ibam_06,instagram,ibam,['ibam06'],0,neutral
min adain webinar ebupot pph 21 dong,instagram,min adain webinar ebupot pph  dong,"['min', 'mengadakan', 'webinar', 'ebupot', 'pph', '21', 'dong']",0,neutral
31 April pake kalender mana?,instagram,april pake kalender mana,"['31', 'april', 'pakai', 'kalender', 'mana']",0,neutral
31 april,instagram,april,"['31', 'april']",0,neutral
#BringBack_Fitur_PBK,instagram,bringbackfiturpbk,['bringbackfiturpbk'],0,neutral
CUIH,instagram,cuih,['cuih'],0,neutral
@riauliarm @leeooiinn,instagram,riauliarm leeooiinn,"['riauliarm', 'leeooiinn']",0,neutral
Ih kok keren,instagram,ih kok keren,"['ih', 'kok', 'keren']",0,neutral
@tnadillaaa,instagram,tnadillaaa,['tnadillaaa'],0,neutral
congratsss @citanuansa @aryakuncoro,instagram,congratsss citanuansa aryakuncoro,"['congratsss', 'citanuansa', 'aryakuncoro']",0,neutral
karolselangbunga,instagram,karolselangbunga,['karolselangbunga'],0,neutral
Mantapppp,instagram,mantapppp,['mantapppp'],0,neutral
@rgnagsta,instagram,rgnagsta,['rgnagsta'],0,neutral
Soleh,instagram,soleh,['soleh'],0,neutral
Kumaha ieu,instagram,kumaha ieu,"['kumaha', 'ieu']",0,neutral
PT perorangan 4 atau 3 tahun?,instagram,pt perorangan  atau  tahun,"['pt', 'perorangan', '4', 'atau', '3', 'tahun']",0,neutral
connection request time out,instagram,connection request time out,"['connection', 'request', 'time', 'out']",0,neutral
Keren banget,instagram,keren banget,"['keren', 'banget']",0,neutral
@_abay_khan,instagram,abaykhan,['abaykhan'],0,neutral
Yeayyy,instagram,yeayyy,['yeayyy'],0,neutral
Wkwkw,instagram,wkwkw,['wkwkw'],0,neutral
Yayyy makaasiii,instagram,yayyy makaasiii,"['yayyy', 'makaasiii']",0,neutral
Selamatt!!!!,instagram,selamatt,['selamatt'],0,neutral
efin,instagram,efin,['efin'],0,neutral
Indonesia maju..,instagram,indonesia maju,"['indonesia', 'maju']",0,neutral
Pak Suryo Coretax gimana...aelahhh,instagram,pak suryo coretax gimanaaelahhh,"['pak', 'suryo', 'coretax', 'gimanaaelahhh']",0,neutral
coretax gur nggo sangu jebule,instagram,coretax gur nggo sangu jebule,"['coretax', 'gur', 'nggo', 'sangu', 'jebule']",0,neutral
@feranita_oke,instagram,feranitaoke,['feranitaoke'],0,neutral
Juicy Lucy jam brpa,instagram,juicy lucy jam brpa,"['juicy', 'lucy', 'jam', 'berapa']",0,neutral
Jam berapa tepatnya,instagram,jam berapa tepatnya,"['jam', 'berapa', 'tepatnya']",0,neutral
jam brp min?,instagram,jam brp min,"['jam', 'berapa', 'min']",0,neutral
Jam brp min mulainya ?,instagram,jam brp min mulainya,"['jam', 'berapa', 'min', 'mulainya']",0,neutral
Njuk Tulung Coretaxnya bu/pak,instagram,njuk tulung coretaxnya bupak,"['njuk', 'tulung', 'coretaxnya', 'bupak']",0,neutral
@sakharana,instagram,sakharana,['sakharana'],0,neutral
"asikk, ada tambahan referensi jurnal ttg perpajakan deh",instagram,asikk ada tambahan referensi jurnal ttg perpajakan deh,"['asikk', 'ada', 'tambahan', 'referensi', 'jurnal', 'tentang', 'perpajakan', 'deh']",0,neutral
Sipp,instagram,sipp,['sip'],0,neutral
S3DlA F0L0W3RS P3RMANEN,instagram,sdla flwrs prmanen,"['s3dla', 'f0l0w3rs', 'p3rmanen']",0,neutral
@ditjenpajakri tolong sistem diperbaiki.. erorr semua..,instagram,ditjenpajakri tolong sistem diperbaiki erorr semua,"['ditjenpajakri', 'tolong', 'sistem', 'diperbaiki', 'erorr', 'semua']",0,neutral
Sore DJP,instagram,sore djp,"['sore', 'djp']",0,neutral
@kemenkeuri,instagram,kemenkeuri,['kemenkeuri'],0,neutral
apa perlu viral dlu nih baru mau kerja @ditjenpajakri,instagram,apa perlu viral dlu nih baru mau kerja ditjenpajakri,"['apa', 'perlu', 'viral', 'dulu', 'nih', 'baru', 'mau', 'kerja', 'ditjenpajakri']",0,neutral
@tarranggi @pempekmertua.jbi @dinaadilah @irtupard,instagram,tarranggi pempekmertuajbi dinaadilah irtupard,"['tarranggi', 'pempekmertuajbi', 'dinaadilah', 'irtupard']",0,neutral
Terbaek @tenaga_suryana,instagram,terbaek tenagasuryana,"['terbaek', 'tenagasuryana']",0,neutral
haram haram haram,instagram,haram haram haram,"['haram', 'haram', 'haram']",0,neutral
"coretax lemot, menular ke djponline juga sekarang",instagram,coretax lemot menular ke djponline juga sekarang,"['coretax', 'lemot', 'menular', 'ke', 'djponline', 'juga', 'sekarang']",0,neutral
Untuk pph affiliate bagaimana?,instagram,untuk pph affiliate bagaimana,"['untuk', 'pph', 'affiliate', 'bagaimana']",0,neutral
@mellyanipradewi @sintyamahap @_kd_sisi @putu.julia @yuniariani19 @alitjuni22,instagram,mellyanipradewi sintyamahap kdsisi putujulia yuniariani alitjuni,"['mellyanipradewi', 'sintyamahap', 'kdsisi', 'putujulia', 'yuniariani19', 'alitjuni22']",0,neutral
Ribett.....,instagram,ribett,['ribett'],0,neutral
@indah.nf3,instagram,indahnf,['indahnf3'],0,neutral
CoreTax Macet,instagram,coretax macet,"['coretax', 'macet']",0,neutral
Tolonglah coretax duluin,instagram,tolonglah coretax duluin,"['tolonglah', 'coretax', 'duluin']",0,neutral
slide 2 goku hangouts sebelum syuting series dragon ball,instagram,slide  goku hangouts sebelum syuting series dragon ball,"['slide', '2', 'goku', 'hangouts', 'sebelum', 'syuting', 'series', 'dragon', 'ball']",0,neutral
