content,source,cleaned,t,sentiment_score,sentiment
Pake developer mana nih... Luar biasa,playstore,pake developer mana nih luar biasa,"['pakai', 'developer', 'mana', 'nih', 'luar', 'biasa']",5,positive
Kerenn,playstore,kerenn,['keren'],9,positive
Sangat bermanfaat,playstore,sangat bermanfaat,"['sangat', 'bermanfaat']",4,positive
nice,playstore,nice,['nice'],4,positive
Oke.,playstore,oke,['oke'],9,positive
MANTAB lanjutkan sobat,playstore,mantab lanjutkan sobat,"['mantab', 'lanjutkan', 'sobat']",6,positive
Good app,playstore,good app,"['good', 'app']",9,positive
"Sering server error, tolong diperbaiki la",playstore,sering server error tolong diperbaiki la,"['sering', 'server', 'error', 'tolong', 'diperbaiki', 'lah']",10,positive
NICE & RECOMMENDED,playstore,nice  recommended,"['nice', 'recommended']",4,positive
Mantul,playstore,mantul,['mantul'],9,positive
Alhamdulillah,playstore,alhamdulillah,['alhamdulillah'],5,positive
Terima kasih M-Pajak,playstore,terima kasih mpajak,"['terima', 'kasih', 'mpajak']",1,positive
Ok jga untuk mengurangi penyimpangan pjak,playstore,ok jga untuk mengurangi penyimpangan pjak,"['ok', 'juga', 'untuk', 'mengurangi', 'penyimpangan', 'pjak']",9,positive
Good joob m-pajak sangat memudahkan dalam transaksi pajak secara online dan daring.,playstore,good joob mpajak sangat memudahkan dalam transaksi pajak secara online dan daring,"['good', 'joob', 'mpajak', 'sangat', 'memudahkan', 'dalam', 'transaksi', 'pajak', 'secara', 'online', 'dan', 'daring']",1,positive
mantapp,playstore,mantapp,['mantap'],5,positive
Mantap x pun,playstore,mantap x pun,"['mantap', 'kali', 'pun']",2,positive
Good aplikation,playstore,good aplikation,"['good', 'aplikation']",9,positive
Good job buat djp!,playstore,good job buat djp,"['good', 'job', 'buat', 'djp']",10,positive
Terima kasih !!,playstore,terima kasih,"['terima', 'kasih']",1,positive
Josssssss,playstore,josssssss,['josssssss'],9,positive
"Tampilan elit, ngurus apa-apa syulit",playstore,tampilan elit ngurus apaapa syulit,"['tampilan', 'elit', 'mengurus', 'apaapa', 'syulit']",1,positive
👍Top,playstore,top,['top'],9,positive
Pelayanan WP semakin transparan 👍,playstore,pelayanan wp semakin transparan,"['pelayanan', 'wp', 'semakin', 'transparan']",8,positive
Mantep,playstore,mantep,['mantap'],5,positive
Buat,playstore,buat,['buat'],1,positive
Ok nyaman,playstore,ok nyaman,"['ok', 'nyaman']",8,positive
Birokrasi utk pegawai,playstore,birokrasi utk pegawai,"['birokrasi', 'untuk', 'pegawai']",3,positive
mudahan sesuai harpana,playstore,mudahan sesuai harpana,"['mudahan', 'sesuai', 'harpana']",4,positive
dicoba dulu,playstore,dicoba dulu,"['dicoba', 'dulu']",2,positive
Makasih,playstore,makasih,['terima kasih'],5,positive
Terima,playstore,terima,['terima'],2,positive
Mantaaap,playstore,mantaaap,['mantap'],5,positive
Mantap jiwa.sedikit kemajuan,playstore,mantap jiwasedikit kemajuan,"['mantap', 'jiwasedikit', 'kemajuan']",5,positive
Sukses selalu dan mempermudah layanannya,playstore,sukses selalu dan mempermudah layanannya,"['sukses', 'selalu', 'dan', 'mempermudah', 'layanannya']",6,positive
Okay,playstore,okay,['okay'],4,positive
Verry Good,playstore,verry good,"['verry', 'good']",9,positive
Mantap Mentong,playstore,mantap mentong,"['mantap', 'mentong']",5,positive
Good👍🏻,playstore,good,['good'],9,positive
Memberi dan Menerima,playstore,memberi dan menerima,"['memberi', 'dan', 'menerima']",1,positive
BISMILLAH...,playstore,bismillah,['bismillah'],4,positive
Verifikasi email aja gak msuk2 ke email,playstore,verifikasi email aja gak msuk ke email,"['verifikasi', 'email', 'saja', 'tidak', 'msuk2', 'ke', 'email']",6,positive
"Praktis, simpel, mudah, aman dan good",playstore,praktis simpel mudah aman dan good,"['praktis', 'simpel', 'mudah', 'aman', 'dan', 'good']",15,positive
Keren banget Bermanfaat bagi bangsa,playstore,keren banget bermanfaat bagi bangsa,"['keren', 'banget', 'bermanfaat', 'bagi', 'bangsa']",5,positive
Good Aplication,playstore,good aplication,"['good', 'aplication']",9,positive
Lebih mudah & praktis,playstore,lebih mudah  praktis,"['lebih', 'mudah', 'praktis']",4,positive
Mantap pokok na mah..,playstore,mantap pokok na mah,"['mantap', 'pokok', 'nya', 'mah']",2,positive
Very Good,playstore,very good,"['very', 'good']",9,positive
Nice,playstore,nice,['nice'],4,positive
semoga berhasil lapor,playstore,semoga berhasil lapor,"['semoga', 'berhasil', 'lapor']",12,positive
Ujung2nya lapor online via web. 😄,playstore,ujungnya lapor online via web,"['ujung2nya', 'lapor', 'online', 'via', 'web']",9,positive
Mantap 👍,playstore,mantap,['mantap'],5,positive
Good job Terimakasih DJP,playstore,good job terimakasih djp,"['good', 'job', 'terimakasih', 'djp']",14,positive
Ok jugga,playstore,ok jugga,"['ok', 'jugga']",4,positive
Oke lah,playstore,oke lah,"['oke', 'lah']",18,positive
dicoba,playstore,dicoba,['dicoba'],2,positive
I thank you Google,playstore,i thank you google,"['i', 'thank', 'you', 'google']",4,positive
bagus dan mantap,playstore,bagus dan mantap,"['bagus', 'dan', 'mantap']",1,positive
"Terimakasih.., semoga kedepan makin meningkat manfaatnya.",playstore,terimakasih semoga kedepan makin meningkat manfaatnya,"['terimakasih', 'semoga', 'kedepan', 'makin', 'meningkat', 'manfaatnya']",10,positive
Ok..,playstore,ok,['ok'],4,positive
Dicoba dulu semoga berhasil,playstore,dicoba dulu semoga berhasil,"['dicoba', 'dulu', 'semoga', 'berhasil']",5,positive
Oke mantap,playstore,oke mantap,"['oke', 'mantap']",14,positive
Simple dan bermanfaat,playstore,simple dan bermanfaat,"['simple', 'dan', 'bermanfaat']",12,positive
goood,playstore,goood,['goood'],9,positive
Good aplilasi,playstore,good aplilasi,"['good', 'aplilasi']",9,positive
is good,playstore,is good,"['is', 'good']",9,positive
Mantappp,playstore,mantappp,['mantap'],5,positive
Kereeen DJP 👍🏻,playstore,kereeen djp,"['keren', 'djp']",9,positive
Mantap. Very helpfull👍,playstore,mantap very helpfull,"['mantap', 'very', 'helpfull']",5,positive
Kereeeeennnnn,playstore,kereeeeennnnn,['kereeeeennnnn'],9,positive
Lanjutkan,playstore,lanjutkan,['lanjutkan'],1,positive
Semoga bermanfaat,playstore,semoga bermanfaat,"['semoga', 'bermanfaat']",9,positive
GOOD,playstore,good,['good'],9,positive
top..,playstore,top,['top'],9,positive
"Mantabb , kerenn . Terus tingkatkan!",playstore,mantabb  kerenn  terus tingkatkan,"['mantab', 'keren', 'terus', 'tingkatkan']",9,positive
Waw keren,playstore,waw keren,"['wow', 'keren']",18,positive
Selamat untk para pemenang,instagram,selamat untk para pemenang,"['selamat', 'untuk', 'para', 'pemenang']",10,positive
Mantaaaf..keren2,instagram,mantaaafkeren,['mantaaafkeren2'],9,positive
Alhamdulillah setelah belasan hari menanti saldo coretax akhirnya bertambah dan bisa lapor pph 21,instagram,alhamdulillah setelah belasan hari menanti saldo coretax akhirnya bertambah dan bisa lapor pph,"['alhamdulillah', 'setelah', 'belasan', 'hari', 'menanti', 'saldo', 'coretax', 'akhirnya', 'bertambah', 'dan', 'bisa', 'lapor', 'pph', '21']",2,positive
Halo kaka,instagram,halo kaka,"['halo', 'kakak']",1,positive
lhah 2 hari post langsung deadline,instagram,lhah  hari post langsung deadline,"['lhah', '2', 'hari', 'post', 'langsung', 'deadline']",3,positive
Dalam RANGKAT?,instagram,dalam rangkat,"['dalam', 'rangkat']",3,positive
@https_shn boleh ni wkwkw,instagram,httpsshn boleh ni wkwkw,"['httpsshn', 'boleh', 'nih', 'wkwkw']",2,positive
Selamat Hari Ibu  #UangKita berperan dalam mendorong kesejahteraan keluarga,instagram,selamat hari ibu  uangkita berperan dalam mendorong kesejahteraan keluarga,"['selamat', 'hari', 'ibu', 'uangkita', 'berperan', 'dalam', 'mendorong', 'kesejahteraan', 'keluarga']",1,positive
"Sangat informatif, Keren",instagram,sangat informatif keren,"['sangat', 'informatif', 'keren']",4,positive
"DJP semakin jaya dan maju
Semakin baik dan canggih dalam menggali dan mencari potensi pajak utk Penerimaan Negara",instagram,"djp semakin jaya dan maju
semakin baik dan canggih dalam menggali dan mencari potensi pajak utk penerimaan negara","['djp', 'semakin', 'jaya', 'dan', 'maju', 'semakin', 'baik', 'dan', 'canggih', 'dalam', 'menggali', 'dan', 'mencari', 'potensi', 'pajak', 'untuk', 'penerimaan', 'negara']",1,positive
PPN MEMPERKUAT OLIGARKI,instagram,ppn memperkuat oligarki,"['ppn', 'memperkuat', 'oligarki']",3,positive
"Kemarin2 benerin data coretax, mau ganti email, lah dimintain nama ibu sekarang",instagram,kemarin benerin data coretax mau ganti email lah dimintain nama ibu sekarang,"['kemarin2', 'benerin', 'data', 'coretax', 'mau', 'ganti', 'email', 'lah', 'dimintain', 'nama', 'ibu', 'sekarang']",11,positive
Itu kerja tengah malam suee,instagram,itu kerja tengah malam suee,"['itu', 'kerja', 'tengah', 'malam', 'suee']",1,positive
Selamat buat Pak Kimul dan jajaran KPP Pratama Palu,instagram,selamat buat pak kimul dan jajaran kpp pratama palu,"['selamat', 'buat', 'pak', 'kimul', 'dan', 'jajaran', 'kpp', 'pratama', 'palu']",6,positive
mantap infonyo min,instagram,mantap infonyo min,"['mantap', 'infonyo', 'min']",5,positive
Terimakasih infonya..,instagram,terimakasih infonya,"['terimakasih', 'infonya']",5,positive
Kereenn bangettt infograsinyaa  yuukkk buruan lapor SPT,instagram,kereenn bangettt infograsinyaa  yuukkk buruan lapor spt,"['keren', 'banget', 'infograsinyaa', 'yuukkk', 'buruan', 'lapor', 'seperti']",9,positive
Ok,instagram,ok,['ok'],4,positive
Dapat juga intruksi pencitraan,instagram,dapat juga intruksi pencitraan,"['dapat', 'juga', 'intruksi', 'pencitraan']",9,positive
Lah,instagram,lah,['lah'],9,positive
"Giliran gw email, ga pernah dijawab. Minta email benerny atuh min..yg bakal dibalas",instagram,giliran gw email ga pernah dijawab minta email benerny atuh minyg bakal dibalas,"['giliran', 'gue', 'email', 'tidak', 'pernah', 'dijawab', 'meminta', 'email', 'benerny', 'atuh', 'minyg', 'bakal', 'dibalas']",14,positive
"min, kawan aku judul skripsinya bahas pph final min @elitameivi",instagram,min kawan aku judul skripsinya bahas pph final min elitameivi,"['min', 'kawan', 'aku', 'judul', 'skripsinya', 'bahas', 'pph', 'final', 'min', 'elitameivi']",1,positive
Min nilai Psikotes kapan keluar?,instagram,min nilai psikotes kapan keluar,"['min', 'nilai', 'psikotes', 'kapan', 'keluar']",2,positive
Sip mantap,instagram,sip mantap,"['sip', 'mantap']",5,positive
Selamat memperingati Maulid Nabi Muhammad Saw. Semoga kita semua selalu menjadi pribadi yang bertaqwa kepada Allah SWT,instagram,selamat memperingati maulid nabi muhammad saw semoga kita semua selalu menjadi pribadi yang bertaqwa kepada allah swt,"['selamat', 'memperingati', 'maulid', 'nabi', 'muhammad', 'saw', 'semoga', 'kita', 'semua', 'selalu', 'menjadi', 'pribadi', 'yang', 'bertaqwa', 'kepada', 'allah', 'swt']",4,positive
"Libe chat, juga yg balas bot.",instagram,libe chat juga yg balas bot,"['libe', 'chat', 'juga', 'yang', 'balas', 'bot']",2,positive
Selamat hari kesaktian pancasila 1 okt 2023,instagram,selamat hari kesaktian pancasila  okt,"['selamat', 'hari', 'kesaktian', 'pancasila', '1', 'okt', '2023']",5,positive
artis @ruthgracep,instagram,artis ruthgracep,"['artis', 'ruthgracep']",2,positive
Wah! Selamat untuk para pemenang,instagram,wah selamat untuk para pemenang,"['wah', 'selamat', 'untuk', 'para', 'pemenang']",7,positive
Selamatt buat para pemenang!,instagram,selamatt buat para pemenang,"['selamatt', 'buat', 'para', 'pemenang']",6,positive
Keren DJP RI dan KEMENKEU RI...terima kasih atas apresiasinya...semoga perpajakan Indonesia semakin baik...,instagram,keren djp ri dan kemenkeu riterima kasih atas apresiasinyasemoga perpajakan indonesia semakin baik,"['keren', 'djp', 'ri', 'dan', 'kemenkeu', 'riterima', 'kasih', 'atas', 'apresiasinyasemoga', 'perpajakan', 'indonesia', 'semakin', 'baik']",5,positive
Wahhh selamat para pemenang!,instagram,wahhh selamat para pemenang,"['wah', 'selamat', 'para', 'pemenang']",7,positive
Alhamdulillah.,instagram,alhamdulillah,['alhamdulillah'],5,positive
Ayo tetap optimis,instagram,ayo tetap optimis,"['ayo', 'tetap', 'optimis']",7,positive
Wkwkwkwk aja lah sebagai sysadmin..,instagram,wkwkwkwk aja lah sebagai sysadmin,"['wkwkwkwk', 'saja', 'lah', 'sebagai', 'sysadmin']",3,positive
Kereenn... lanjutkeun....,instagram,kereenn lanjutkeun,"['keren', 'lanjutkeun']",9,positive
Congrats!,instagram,congrats,['congrats'],3,positive
"Selamaat untuk DJP, semoga prestasi dalam inovasinya semakin meluaskan dan mendalamkan kemanfaatannya.. untuk Indonesia",instagram,selamaat untuk djp semoga prestasi dalam inovasinya semakin meluaskan dan mendalamkan kemanfaatannya untuk indonesia,"['selamaat', 'untuk', 'djp', 'semoga', 'prestasi', 'dalam', 'inovasinya', 'semakin', 'meluaskan', 'dan', 'mendalamkan', 'kemanfaatannya', 'untuk', 'indonesia']",5,positive
Pengumuman pemenangnya kapan minn?,instagram,pengumuman pemenangnya kapan minn,"['pengumuman', 'pemenangnya', 'kapan', 'minn']",1,positive
Buku ceritanya enggak sekalian min?,instagram,buku ceritanya enggak sekalian min,"['buku', 'ceritanya', 'enggak', 'sekalian', 'min']",2,positive
Tapi pengaruhi harga barang juga. Merchant bakal menaikkan harganya,instagram,tapi pengaruhi harga barang juga merchant bakal menaikkan harganya,"['tapi', 'pengaruhi', 'harga', 'barang', 'juga', 'merchant', 'bakal', 'menaikkan', 'harganya']",3,positive
joss lanjutkan pak,instagram,joss lanjutkan pak,"['joss', 'lanjutkan', 'pak']",1,positive
Josss,instagram,josss,['josss'],9,positive
Wow ini jepretan @gry.rmnd? Mantap kaliii,instagram,wow ini jepretan gryrmnd mantap kaliii,"['wow', 'ini', 'jepretan', 'gryrmnd', 'mantap', 'kali']",5,positive
Mantap mantap mantap core tax ini,instagram,mantap mantap mantap core tax ini,"['mantap', 'mantap', 'mantap', 'core', 'tax', 'ini']",6,positive
Kalau kantor pusat libur juga berarti ya ?,instagram,kalau kantor pusat libur juga berarti ya,"['kalau', 'kantor', 'pusat', 'libur', 'juga', 'berarti', 'ya']",6,positive
Adminnya punya selera lagu asik,instagram,adminnya punya selera lagu asik,"['adminnya', 'punya', 'selera', 'lagu', 'asik']",12,positive
@tsaabit97 @imamfachrial @hilminugroho12 kuy latihan convert XML,instagram,tsaabit imamfachrial hilminugroho kuy latihan convert xml,"['tsaabit97', 'imamfachrial', 'hilminugroho12', 'yuk', 'latihan', 'convert', 'xml']",2,positive
"Selamat punya Dirjen baru....
Semoga semakin baik dan bersih DJP",instagram,"selamat punya dirjen baru
semoga semakin baik dan bersih djp","['selamat', 'punya', 'dirjen', 'baru', 'semoga', 'semakin', 'baik', 'dan', 'bersih', 'djp']",9,positive
congrats all,instagram,congrats all,"['congrats', 'all']",3,positive
Selamat @ikhsansnl @smandoeta,instagram,selamat ikhsansnl smandoeta,"['selamat', 'ikhsansnl', 'smandoeta']",5,positive
"Congrats @sman2tangerang , proud alumnus",instagram,congrats smantangerang  proud alumnus,"['congrats', 'sman2tangerang', 'proud', 'alumnus']",8,positive
Mantapp,instagram,mantapp,['mantap'],5,positive
keren,instagram,keren,['keren'],9,positive
Mantap,instagram,mantap,['mantap'],5,positive
Kerennn,instagram,kerennn,['keren'],9,positive
Puncak ujian kesabaran dalam kehidupan manusia adalah CORETAX percayalah.,instagram,puncak ujian kesabaran dalam kehidupan manusia adalah coretax percayalah,"['puncak', 'ujian', 'kesabaran', 'dalam', 'kehidupan', 'manusia', 'adalah', 'coretax', 'percayalah']",9,positive
"Mau lapor ppn nih, tombol postingnya kaga update2",instagram,mau lapor ppn nih tombol postingnya kaga update,"['mau', 'lapor', 'ppn', 'nih', 'tombol', 'postingnya', 'kagak', 'update2']",5,positive
"Melalui CireTax ??,",instagram,melalui ciretax,"['melalui', 'ciretax']",3,positive
"Rumus Excel Cara Menghitung PPh 21 TER Tarif Efektif Rata-rata Efektif 1 Januari 2024
https://www.youtube.com/watch?v=jBJS9vzTQH8",instagram,"rumus excel cara menghitung pph  ter tarif efektif ratarata efektif  januari 
httpswwwyoutubecomwatchvjbjsvztqh","['rumus', 'excel', 'cara', 'menghitung', 'pph', '21', 'ter', 'tarif', 'efektif', 'ratarata', 'efektif', '1', 'januari', '2024', 'httpswwwyoutubecomwatchvjbjs9vztqh8']",10,positive
Congrats temen-temen,instagram,congrats tementemen,"['congrats', 'tementemen']",3,positive
"Selamat hari pajak, semoga penerimaan pajak tahun 2023 mencapai atau bahkan melebihi target dan semoga penggunaannya juga sesuai dan berkeadilan untuk seluruh lapisan masyarakat.",instagram,selamat hari pajak semoga penerimaan pajak tahun  mencapai atau bahkan melebihi target dan semoga penggunaannya juga sesuai dan berkeadilan untuk seluruh lapisan masyarakat,"['selamat', 'hari', 'pajak', 'semoga', 'penerimaan', 'pajak', 'tahun', '2023', 'mencapai', 'atau', 'bahkan', 'melebihi', 'target', 'dan', 'semoga', 'penggunaannya', 'juga', 'sesuai', 'dan', 'berkeadilan', 'untuk', 'seluruh', 'lapisan', 'masyarakat']",2,positive
Alhamdulillah bertepatan juga dengan hari kelahiranku 14 juli. Semoga tetep sukses,instagram,alhamdulillah bertepatan juga dengan hari kelahiranku  juli semoga tetep sukses,"['alhamdulillah', 'bertepatan', 'juga', 'dengan', 'hari', 'kelahiranku', '14', 'juli', 'semoga', 'tetap', 'sukses']",20,positive
Indonesia cepat..ditangan yg tepat...  Indonesia semakin mantab...,instagram,indonesia cepatditangan yg tepat  indonesia semakin mantab,"['indonesia', 'cepatditangan', 'yang', 'tepat', 'indonesia', 'semakin', 'mantab']",6,positive
Hasil dari SP2DK... jos...,instagram,hasil dari spdk jos,"['hasil', 'dari', 'sp2dk', 'jos']",9,positive
4500 triliyun SUKSES,instagram,triliyun sukses,"['4500', 'triliyun', 'sukses']",9,positive
Mantapp @dianwahyu54,instagram,mantapp dianwahyu,"['mantap', 'dianwahyu54']",5,positive
"Udah bayar suruh lapor, lah kerjanya ngapain?",instagram,udah bayar suruh lapor lah kerjanya ngapain,"['sudah', 'bayar', 'suruh', 'lapor', 'lah', 'kerjanya', 'mengapai']",4,positive
ayoo lapor pjak untuk memperkaya pejabat...salam Rubicon,instagram,ayoo lapor pjak untuk memperkaya pejabatsalam rubicon,"['ayo', 'lapor', 'pjak', 'untuk', 'memperkaya', 'pejabatsalam', 'rubicon']",4,positive
"masyaallah tabarakallah, terimakasih atas informasinya",instagram,masyaallah tabarakallah terimakasih atas informasinya,"['masyaallah', 'tabarakallah', 'terimakasih', 'atas', 'informasinya']",3,positive
bisnis otp ditjenpajakri,instagram,bisnis otp ditjenpajakri,"['bisnis', 'otp', 'ditjenpajakri']",3,positive
pendalaman… gimana mau coretax min..,instagram,pendalaman gimana mau coretax min,"['pendalaman', 'bagaimana', 'mau', 'coretax', 'min']",3,positive
game sifatnya software atau boleh board game?,instagram,game sifatnya software atau boleh board game,"['game', 'sifatnya', 'software', 'atau', 'boleh', 'board', 'game']",6,positive
"Ciyee posting ulang. Apapun postingannya, komennya tetap corestress",instagram,ciyee posting ulang apapun postingannya komennya tetap corestress,"['ciyee', 'posting', 'ulang', 'apapun', 'postingannya', 'komennya', 'tetap', 'corestress']",3,positive
mantab,instagram,mantab,['mantab'],9,positive
Andai ku Gayus Tambunaaaann,instagram,andai ku gayus tambunaaaann,"['andai', 'ku', 'gayus', 'tambunaaaann']",2,positive
kerenn,instagram,kerenn,['keren'],9,positive
Keren,instagram,keren,['keren'],9,positive
Selamat bestiee @nandadcahya,instagram,selamat bestiee nandadcahya,"['selamat', 'bestiee', 'nandadcahya']",5,positive
